p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25.2797698974609,-0.620250642299652,-3.92071832777674e-08,-23.3241271972656,-33.5310974121094,-17.4673404693604,-30.4885749816895,-26.257116317749,-3.47677314493922e-06,-14.3813810348511,-12.6505784988403,-42.8845291137695,-3.83798146247864,-11.3107271194458
-25.6579990386963,-0.640020966529846,-3.92141004113e-08,-23.6083374023438,-33.8169021606445,-17.7510070800781,-30.7908382415771,-26.5479011535645,-3.47684454027331e-06,-14.559642791748,-12.8661804199219,-43.0760841369629,-3.94433951377869,-11.529896736145
-26.0239448547363,-0.6597820520401,-3.92196106702158e-08,-23.8804569244385,-34.0854568481445,-18.0253028869629,-31.0761795043945,-26.8241767883301,-3.47689729096601e-06,-14.7303781509399,-13.0751609802246,-43.2502975463867,-4.04985809326172,-11.7432155609131
-26.3780078887939,-0.679533839225769,-3.92240018243228e-08,-24.1410007476807,-34.3377990722656,-18.2905387878418,-31.3455467224121,-27.0866641998291,-3.47693639923818e-06,-14.8939056396484,-13.2777233123779,-43.4087333679199,-4.15454530715942,-11.9508390426636
-26.720573425293,-0.699276387691498,-3.92275012472965e-08,-24.3904609680176,-34.5749130249023,-18.5470142364502,-31.5998344421387,-27.3360538482666,-3.47696527569497e-06,-15.0505285263062,-13.4740648269653,-43.5528221130371,-4.25840759277344,-12.1529216766357
-27.0520153045654,-0.719009697437286,-3.92302865748206e-08,-24.6293087005615,-34.7977142333984,-18.7950172424316,-31.8398876190186,-27.572998046875,-3.47698642144678e-06,-15.2005386352539,-13.6643772125244,-43.6838645935059,-4.36145257949829,-12.3496112823486
-27.3726940155029,-0.738733768463135,-3.92325070208699e-08,-24.8579959869385,-35.0070686340332,-19.0348281860352,-32.0665016174316,-27.7981185913086,-3.47700211023039e-06,-15.3442153930664,-13.8488445281982,-43.8030395507812,-4.4636869430542,-12.541051864624
-27.6829605102539,-0.758448600769043,-3.92342762722819e-08,-25.0769538879395,-35.203784942627,-19.2667179107666,-32.2804298400879,-28.0120048522949,-3.47701370628783e-06,-15.4818267822266,-14.0276470184326,-43.9114227294922,-4.56511735916138,-12.7273845672607
-27.9831504821777,-0.778154194355011,-3.92356866996124e-08,-25.2865962982178,-35.3886299133301,-19.4909477233887,-32.4823837280273,-28.215217590332,-3.4770223464875e-06,-15.6136283874512,-14.2009582519531,-44.0099945068359,-4.6657509803772,-12.908745765686
-28.2735939025879,-0.797850549221039,-3.92368093571349e-08,-25.4873218536377,-35.5623168945312,-19.7077693939209,-32.6730346679688,-28.4082908630371,-3.47702871295041e-06,-15.7398653030396,-14.3689470291138,-44.0996398925781,-4.76559400558472,-13.0852680206299
-28.5546054840088,-0.817537665367126,-3.9237704640982e-08,-25.6795082092285,-35.7255210876465,-19.9174289703369,-32.8530120849609,-28.5917282104492,-3.4770334877976e-06,-15.8607721328735,-14.531777381897,-44.1811676025391,-4.86465263366699,-13.257080078125
-28.8264923095703,-0.837215602397919,-3.92384151837177e-08,-25.8635177612305,-35.8788757324219,-20.1201629638672,-33.0229148864746,-28.7660121917725,-3.47703689840273e-06,-15.9765748977661,-14.6896066665649,-44.255313873291,-4.96293306350708,-13.4243087768555
-29.0895500183105,-0.856884300708771,-3.92389836179063e-08,-26.0396995544434,-36.0229721069336,-20.3162002563477,-33.1833076477051,-28.9315986633301,-3.47703939951316e-06,-16.0874881744385,-14.8425893783569,-44.3227462768555,-5.0604419708252,-13.5870761871338
-29.3440647125244,-0.876543760299683,-3.92394348125435e-08,-26.2083873748779,-36.1583709716797,-20.5057621002197,-33.3347206115723,-29.0889225006104,-3.47704121850256e-06,-16.193717956543,-14.990873336792,-44.3840713500977,-5.15718555450439,-13.7455015182495
-29.5903148651123,-0.896194040775299,-3.92397936366251e-08,-26.3698978424072,-36.2855987548828,-20.6890621185303,-33.4776573181152,-29.238395690918,-3.47704258274462e-06,-16.2954635620117,-15.1346035003662,-44.4398422241211,-5.25316953659058,-13.8997001647949
-29.8285694122314,-0.91583514213562,-3.92400814064331e-08,-26.5245380401611,-36.4051475524902,-20.8663082122803,-33.6125946044922,-29.3804092407227,-3.47704371961299e-06,-16.3929138183594,-15.2739200592041,-44.4905624389648,-5.3484001159668,-14.0497856140137
-30.0590877532959,-0.935467004776001,-3.92403087801085e-08,-26.6725997924805,-36.5174789428711,-21.0376987457275,-33.7399787902832,-29.5153350830078,-3.47704440173402e-06,-16.4862499237061,-15.4089584350586,-44.5366897583008,-5.44288349151611,-14.1958665847778
-30.2821197509766,-0.955089688301086,-3.92404899685062e-08,-26.8143634796143,-36.6230316162109,-21.2034282684326,-33.8602333068848,-29.6435279846191,-3.47704508385505e-06,-16.5756454467773,-15.539849281311,-44.5786437988281,-5.53662538528442,-14.3380508422852
-30.4979095458984,-0.974703192710876,-3.9240635629767e-08,-26.9500961303711,-36.7222137451172,-21.3636837005615,-33.9737548828125,-29.7653255462646,-3.4770455386024e-06,-16.6612663269043,-15.6667203903198,-44.6167984008789,-5.62963151931763,-14.4764423370361
-30.7066917419434,-0.994307518005371,-3.92407528693184e-08,-27.0800533294678,-36.8154067993164,-21.5186443328857,-34.0809211730957,-29.8810443878174,-3.47704576597607e-06,-16.7432727813721,-15.7896957397461,-44.651496887207,-5.72190761566162,-14.6111421585083
-30.9086952209473,-1.01390266418457,-3.9240845239874e-08,-27.2044830322266,-36.9029769897461,-21.6684875488281,-34.1820907592773,-29.99098777771,-3.47704599334975e-06,-16.8218173980713,-15.9088945388794,-44.6830520629883,-5.81345987319946,-14.7422485351562
-31.1041393280029,-1.03348863124847,-3.92409198468613e-08,-27.3236198425293,-36.9852600097656,-21.8133811950684,-34.2775955200195,-30.0954456329346,-3.47704622072342e-06,-16.897045135498,-16.0244331359863,-44.7117500305176,-5.90429353713989,-14.8698568344116
-31.2932357788086,-1.05306541919708,-3.92409766902801e-08,-27.437686920166,-37.0625762939453,-21.9534873962402,-34.3677558898926,-30.1946907043457,-3.47704622072342e-06,-16.9690971374512,-16.1364231109619,-44.737850189209,-5.99441480636597,-14.9940614700317
-31.4761924743652,-1.0726330280304,-3.9241022875558e-08,-27.5469017028809,-37.1352272033691,-22.0889663696289,-34.4528694152832,-30.2889823913574,-3.47704622072342e-06,-17.038106918335,-16.2449741363525,-44.7615852355957,-6.08382892608643,-15.1149520874023
-31.6532077789307,-1.09219145774841,-3.92410584026948e-08,-27.6514701843262,-37.2034950256348,-22.219970703125,-34.5332183837891,-30.378568649292,-3.47704622072342e-06,-17.1042022705078,-16.350191116333,-44.7831726074219,-6.17254114151001,-15.2326183319092
-31.8244762420654,-1.11174070835114,-3.92410868244042e-08,-27.7515907287598,-37.2676391601562,-22.3466472625732,-34.6090660095215,-30.4636840820312,-3.47704622072342e-06,-17.1675071716309,-16.4521770477295,-44.8028030395508,-6.26055765151978,-15.3471460342407
-31.9901828765869,-1.13128077983856,-3.92411116933999e-08,-27.8474521636963,-37.3279113769531,-22.4691390991211,-34.6806716918945,-30.5445537567139,-3.47704622072342e-06,-17.2281398773193,-16.5510311126709,-44.8206596374512,-6.3478832244873,-15.4586181640625
-32.1505088806152,-1.15081179141998,-3.92411294569683e-08,-27.9392356872559,-37.3845481872559,-22.5875835418701,-34.7482681274414,-30.6213874816895,-3.47704622072342e-06,-17.2862129211426,-16.6468486785889,-44.8368988037109,-6.4345235824585,-15.5671167373657
-32.3056297302246,-1.17033362388611,-3.92411436678231e-08,-28.0271148681641,-37.4377670288086,-22.7021160125732,-34.8120803833008,-30.6943874359131,-3.47704622072342e-06,-17.3418350219727,-16.7397232055664,-44.8516654968262,-6.52048444747925,-15.6727209091187
-32.4557113647461,-1.18984627723694,-3.92411578786778e-08,-28.111255645752,-37.4877738952637,-22.8128662109375,-34.8723220825195,-30.763744354248,-3.47704622072342e-06,-17.3951072692871,-16.8297462463379,-44.8650970458984,-6.60577058792114,-15.7755079269409
-32.6009216308594,-1.20934987068176,-3.92411685368188e-08,-28.1918163299561,-37.5347595214844,-22.919958114624,-34.9291915893555,-30.8296394348145,-3.47704622072342e-06,-17.4461307525635,-16.9170036315918,-44.877311706543,-6.69038772583008,-15.8755531311035
-32.7414169311523,-1.22884428501129,-3.92411756422462e-08,-28.268949508667,-37.5789108276367,-23.0235118865967,-34.9828758239746,-30.8922462463379,-3.47704622072342e-06,-17.4950008392334,-17.0015811920166,-44.8884201049805,-6.77434110641479,-15.9729290008545
-32.8773498535156,-1.24832952022552,-3.92411827476735e-08,-28.3428020477295,-37.6203956604004,-23.1236457824707,-35.0335540771484,-30.9517288208008,-3.47704622072342e-06,-17.5418071746826,-17.0835628509521,-44.8985214233398,-6.85763549804688,-16.0677070617676
-33.0088653564453,-1.26780569553375,-3.92411863003872e-08,-28.4135131835938,-37.6593780517578,-23.2204704284668,-35.0813980102539,-31.008243560791,-3.47704622072342e-06,-17.5866374969482,-17.1630268096924,-44.9077072143555,-6.94027662277222,-16.1599578857422
-33.1361122131348,-1.28727269172668,-3.92411898531009e-08,-28.4812164306641,-37.6960067749023,-23.3140983581543,-35.1265640258789,-31.0619373321533,-3.47704622072342e-06,-17.6295757293701,-17.2400493621826,-44.9160614013672,-7.0222692489624,-16.2497463226318
-33.2592277526855,-1.30673062801361,-3.92411934058146e-08,-28.5460395812988,-37.7304267883301,-23.4046325683594,-35.1692008972168,-31.1129512786865,-3.47704622072342e-06,-17.6707000732422,-17.3147068023682,-44.9236602783203,-7.10361862182617,-16.3371410369873
-33.378345489502,-1.32617938518524,-3.92411969585282e-08,-28.6081047058105,-37.762767791748,-23.4921760559082,-35.2094497680664,-31.1614208221436,-3.47704622072342e-06,-17.7100887298584,-17.3870716094971,-44.9305725097656,-7.18432998657227,-16.4222030639648
-33.493595123291,-1.34561908245087,-3.92412005112419e-08,-28.6675300598145,-37.793155670166,-23.5768280029297,-35.2474479675293,-31.2074718475342,-3.47704622072342e-06,-17.7478141784668,-17.4572143554688,-44.9368591308594,-7.26440811157227,-16.504997253418
-33.6051025390625,-1.36504971981049,-3.92412005112419e-08,-28.7244262695312,-37.8217086791992,-23.6586837768555,-35.283317565918,-31.2512245178223,-3.47704622072342e-06,-17.7839469909668,-17.5252017974854,-44.9425735473633,-7.34385776519775,-16.5855827331543
