p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.19940567,-31.58004951,-7.086839199,-11.28198147,-4.798175812,-5.903396606,-13.36312485,-9.037833214,-13.9552145,-22.33955765,-34.31513596,-43.26257324,-2.57E-05,-25.50734711,-33.97865295
-35.23905563,-31.66104507,-7.148386478,-11.35179806,-4.85022974,-5.984265327,-13.43993759,-9.156154633,-13.99417877,-22.39964294,-34.46503448,-43.2949791,-2.57E-05,-25.54593277,-33.98765182
-35.27649307,-31.73880577,-7.209034443,-11.42007732,-4.901827335,-6.064966679,-13.51489925,-9.274086952,-14.03158951,-22.45740128,-34.61125565,-43.32536697,-2.57E-05,-25.5825882,-33.99593735
-35.31184387,-31.8134613,-7.268795967,-11.4868536,-4.952972889,-6.145501137,-13.58805466,-9.391631126,-14.0675087,-22.51292419,-34.75388718,-43.35386276,-2.57E-05,-25.61740875,-34.00356293
-35.34522247,-31.88513374,-7.327683926,-11.55215931,-5.003669739,-6.225869179,-13.65944672,-9.508788109,-14.10199547,-22.56629753,-34.89301682,-43.38058472,-2.57E-05,-25.65048599,-34.01058197
-35.3767395,-31.95394516,-7.385711193,-11.61602688,-5.053922653,-6.306070805,-13.72911835,-9.625559807,-14.13510799,-22.6176033,-35.02872849,-43.40564346,-2.57E-05,-25.68190956,-34.01704025
-35.40649796,-32.02000809,-7.442890167,-11.67848778,-5.10373497,-6.386106968,-13.79711056,-9.741947174,-14.16689968,-22.66692352,-35.16110992,-43.429142,-2.57E-05,-25.71175957,-34.02298355
-35.43459702,-32.08343124,-7.499233246,-11.73957348,-5.153110504,-6.465977192,-13.86346436,-9.857952118,-14.19742393,-22.71433449,-35.29024124,-43.4511795,-2.57E-05,-25.74011612,-34.02845383
-35.46113205,-32.14432144,-7.554752827,-11.7993145,-5.20205307,-6.54568243,-13.92821884,-9.973575592,-14.2267313,-22.75990868,-35.41620255,-43.47184372,-2.57E-05,-25.7670536,-34.03348923
-35.48618698,-32.20278168,-7.609460831,-11.85773945,-5.250566959,-6.625222683,-13.99141312,-10.08881855,-14.25487041,-22.80371857,-35.53907013,-43.49122238,-2.57E-05,-25.79264259,-34.03812408
-35.50984192,-32.25890732,-7.663369179,-11.91487789,-5.29865551,-6.704598427,-14.05308437,-10.20368195,-14.28188801,-22.84583282,-35.65892029,-43.50939178,-2.57E-05,-25.81695175,-34.04238892
-35.53218079,-32.31278992,-7.716489792,-11.97075844,-5.346322536,-6.783810139,-14.11326981,-10.31816769,-14.30782795,-22.8863163,-35.77582932,-43.52643204,-2.57E-05,-25.84004402,-34.04631424
-35.55327225,-32.36452103,-7.768833637,-12.02540874,-5.393571377,-6.862857819,-14.1720047,-10.43227673,-14.33273411,-22.92523193,-35.88986969,-43.5424118,-2.57E-05,-25.86198044,-34.04992676
-35.57318878,-32.41418457,-7.820412636,-12.07885551,-5.440406322,-6.941741943,-14.22932339,-10.54601002,-14.35664749,-22.96264076,-36.00111008,-43.55739594,-2.57E-05,-25.88282013,-34.05325317
-35.59199524,-32.46186447,-7.871237755,-12.13112545,-5.486830711,-7.02046299,-14.28526115,-10.65936947,-14.3796072,-22.99860191,-36.10961914,-43.57144547,-2.57E-05,-25.9026165,-34.05631638
-35.60975266,-32.50764084,-7.921319962,-12.1822443,-5.532847881,-7.099021435,-14.33985043,-10.77235603,-14.40165138,-23.0331707,-36.21546173,-43.58462143,-2.57E-05,-25.92142296,-34.05913544
-35.62651825,-32.55158997,-7.970669746,-12.23223782,-5.578462124,-7.177417278,-14.39312458,-10.88497066,-14.42281723,-23.06640053,-36.31870651,-43.59697723,-2.57E-05,-25.93928719,-34.06172943
-35.64234924,-32.59378433,-8.019298553,-12.28112984,-5.6236763,-7.255650997,-14.44511509,-10.99721432,-14.44313908,-23.0983448,-36.41941833,-43.60856247,-2.57E-05,-25.95625687,-34.06411743
-35.65729904,-32.6342926,-8.067215919,-12.32894516,-5.668494225,-7.333722591,-14.49585247,-11.1090889,-14.4626503,-23.12905121,-36.51765823,-43.61942673,-2.57E-05,-25.97237778,-34.0663147
-35.67141342,-32.67318344,-8.114433289,-12.37570763,-5.712919235,-7.411633015,-14.54536724,-11.22059536,-14.48138332,-23.15856934,-36.61348343,-43.62961578,-2.57E-05,-25.98769188,-34.06833649
-35.68474197,-32.7105217,-8.160960197,-12.42144108,-5.75695467,-7.489382267,-14.59368801,-11.33173466,-14.49936962,-23.18694496,-36.70695877,-43.6391716,-2.57E-05,-26.00224113,-34.07019806
-35.69732666,-32.74636841,-8.206807137,-12.46616745,-5.800604343,-7.566970825,-14.64084435,-11.4425087,-14.51663876,-23.21422195,-36.79813766,-43.64813232,-2.57E-05,-26.01606178,-34.07191086
-35.70920944,-32.78078079,-8.251984596,-12.50990868,-5.843871117,-7.644398689,-14.68686485,-11.55291843,-14.53321934,-23.24044228,-36.88707733,-43.65653229,-2.57E-05,-26.02919006,-34.07348633
-35.72042847,-32.81381989,-8.29650116,-12.55268669,-5.886758804,-7.721666336,-14.73177624,-11.66296482,-14.54913902,-23.26564789,-36.97383499,-43.66440964,-2.57E-05,-26.04166222,-34.07493591
-35.73102188,-32.84553909,-8.340367317,-12.59452248,-5.929270744,-7.798774242,-14.7756052,-11.77264881,-14.56442451,-23.28987694,-37.05846024,-43.67179871,-2.57E-05,-26.05351067,-34.07627106
-35.74102402,-32.87599182,-8.383592606,-12.63543701,-5.971409798,-7.875722408,-14.81837749,-11.88197231,-14.57910061,-23.31316948,-37.14101028,-43.6787262,-2.57E-05,-26.06476593,-34.07749939
-35.75046921,-32.90522766,-8.426185608,-12.67545128,-6.013179302,-7.952511787,-14.86011887,-11.99093533,-14.59319115,-23.33555984,-37.22153473,-43.68522263,-2.57E-05,-26.07545662,-34.07863235
-35.75938797,-32.9332962,-8.468155861,-12.71458435,-6.054583073,-8.02914238,-14.90085411,-12.09953976,-14.60671997,-23.35708237,-37.30007935,-43.6913147,-2.57E-05,-26.08561325,-34.07967377
-35.76781082,-32.96024323,-8.509512901,-12.7528553,-6.095623493,-8.105614662,-14.94060802,-12.20778751,-14.61970997,-23.37777138,-37.37669754,-43.69702911,-2.57E-05,-26.09526062,-34.08063126
-35.77576065,-32.9861145,-8.550265312,-12.79028416,-6.136304379,-8.181928635,-14.9794035,-12.3156786,-14.63218212,-23.3976593,-37.45143509,-43.70238495,-2.57E-05,-26.10442543,-34.08151245
-35.78326797,-33.010952,-8.590421677,-12.82688808,-6.17662859,-8.258084297,-15.01726437,-12.42321491,-14.64415646,-23.41677856,-37.52433777,-43.70740891,-2.57E-05,-26.11313248,-34.08232498
-35.79035568,-33.03479767,-8.629991531,-12.86268616,-6.216599464,-8.334082603,-15.05421257,-12.53039742,-14.65565395,-23.43515778,-37.59544754,-43.71212006,-2.57E-05,-26.12140274,-34.08307266
-35.79705048,-33.05769348,-8.668982506,-12.8976965,-6.256219864,-8.409923553,-15.09027004,-12.63722706,-14.66669273,-23.45282555,-37.664814,-43.71653748,-2.57E-05,-26.12925911,-34.08375931
-35.80337143,-33.07967377,-8.707404137,-12.93193531,-6.295493126,-8.485608101,-15.12545872,-12.74370575,-14.67729092,-23.46980858,-37.73247528,-43.72068024,-2.57E-05,-26.13672256,-34.08439255
-29.96661949,-27.81873894,-8.4117136,-11.95444107,-6.098402023,-8.333331108,-14.08169079,-12.45885658,-13.48029709,-19.54972076,-31.15423203,-34.00884247,2.61E-06,-21.1603508,-24.81986237
