schedule,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,-1.549395223,-2.225276282,2.290222179,10.73379179,2.368811195,8.590432484,-1.809387217,4.164958317,-8.795287727,2.086813688,12.09030719,9.844116962,-0.225748429,-5.150931202,3.845648357
0,1.934217986,1.257893859,3.344392891,0.407711312,2.89371459,0.66258759,0.690234824,-9.913908767,8.561401794,-0.036603029,7.0663454,-1.228447791,-3.981271415,7.560060142,3.695710649
0,NA,-3.17343358,1.309932474,5.84069839,5.348422892,-7.447114649,2.955872151,3.219366146,2.863407999,-5.91457194,4.294585469,0.307761182,7.416904366,-3.873360279,9.600788618
0,NA,2.617687857,4.294208105,-0.750182919,-0.818633895,0.41706263,-1.910685075,0.040114957,NA,7.462611929,-1.99493756,6.757859835,4.828751124,1.722648892,6.865618713
45,NA,1.472075967,1.531156389,3.40418559,-4.666806572,-4.540288172,-3.058964158,-6.25771984,0.436387429,5.393217509,13.1860223,-3.694631812,-2.546619458,2.252205069,6.056980212
45,-3.141703764,-2.686805162,-4.112812646,3.513681596,8.81051536,-0.727795925,-0.695536076,-1.840202863,2.856268078,-1.944795851,-0.713138175,-5.73813128,1.245121993,-3.870928773,2.625071157
45,-1.994727139,-8.946541265,NA,1.506322778,1.287884613,-14.9594472,-7.078469462,-9.406823983,9.032458221,2.350096666,-2.665510709,-4.841766858,-19.86002171,-5.745001766,0.852241329
45,-1.271971841,-5.428750245,-8.67653274,-0.308668901,-4.596426141,4.192912512,-3.632345736,-8.805340017,0.272575894,3.388149266,-8.223785972,2.697669047,-10.98610221,-3.85398112,2.535639508
45,-5.844055588,-6.629070908,-1.477295589,-6.205495556,-7.172536567,0.320414447,-25.63750575,-9.376641329,12.8872083,0.351295112,-2.100453432,-2.824828553,5.346678259,-0.837116297,-0.68154999
45,3.593835161,-4.790446198,8.053570946,-0.659679763,8.807902908,-6.906351867,-6.046013627,-7.800340894,6.624496468,-0.268393362,-3.926365063,-6.544113919,-6.381729675,2.319518001,4.359703281
45,-11.3721335,-13.99910518,-3.097118037,-1.671632073,-1.104388087,2.771167326,4.543648276,-16.43100012,-24.49166192,8.060244652,-3.484698185,-8.256284656,-9.796524476,-2.625071157,-3.600585202
45,3.208164228,8.245902925,-10.20447002,-4.781055816,-15.73453516,1.532796634,-2.037828909,-9.290904079,1.85941402,4.142947493,-4.294208105,-55.5465392,-13.56831192,-16.44215184,-0.627946666
45,-3.509968917,-4.935757891,-0.554217115,-3.020611316,-2.232411805,2.626798283,-4.493127499,-6.912803193,3.884976971,-2.265225608,2.243448387,0.77690335,-22.23202782,-8.420999138,-5.565792675
45,-7.933377214,-8.516018329,-5.437777933,-9.464555805,-11.82434603,-12.68192495,-7.948880366,-7.334702845,10.45959227,7.911995462,3.399374686,-1.384525041,-4.197269122,-7.638652453,NA
45,2.676343029,1.764359543,-11.89435279,-5.566762553,-32.86614771,4.202149853,-0.841371829,-6.516794211,0.604522261,3.666396087,-2.967433471,-14.33983675,-0.994983763,-11.0008694,-2.221495491
45,0.337346573,-8.792205932,-2.26328482,-8.792681956,1.068904431,-7.036483548,-1.818512457,3.17004735,-5.803465962,2.514045919,3.144268571,-8.325752594,-1.932522704,-4.113956605,1.357446061
45,-11.44836184,-12.08052338,-8.951681027,-9.550366917,-4.533325081,-4.112812646,-5.433892082,-0.919671192,NA,6.569915131,-3.439924601,-2.896028598,1.257501442,-5.638699999,-8.878279413
45,-6.238448399,-4.935588513,-2.360548585,-9.225991879,NA,-8.147808191,-3.12486754,-11.06524991,3.620709752,4.973836571,-5.211553627,-12.21791798,-26.71441664,-4.77383516,1.593960105
45,-4.221231601,-2.18012859,-2.948018367,0.994983763,-5.90314546,-35.97472446,-6.990859683,-4.009495409,-12.83561532,2.283681108,2.15031012,-3.124188851,-9.052822502,-18.03951078,-1.215924784
