p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.2020225524902,-13.5198192596436,-20.310022354126,-13.7563056945801,-15.2536563873291,-12.5758295059204,-7.55434036254883,-14.1162948608398,-25.0925827026367,-23.3569679260254,-19.871467590332,-12.5915937423706,-5.29520702362061,-17.4442749023438,-8.1762809753418
-34.3985290527344,-13.7722311019897,-20.5304088592529,-14.0057773590088,-15.3649473190308,-12.7929058074951,-7.64505290985107,-14.3309545516968,-25.3310413360596,-23.4799327850342,-20.1233215332031,-12.8275842666626,-5.38862085342407,-17.7586517333984,-8.35062408447266
-34.5848922729492,-14.0225830078125,-20.7432498931885,-14.2529592514038,-15.4706630706787,-13.0066652297974,-7.73298597335815,-14.5412492752075,-25.5602588653564,-23.5954074859619,-20.367956161499,-13.0607261657715,-5.48056840896606,-18.0685138702393,-8.52404975891113
-34.7616310119629,-14.2708988189697,-20.948802947998,-14.4978923797607,-15.571084022522,-13.2171583175659,-7.81822490692139,-14.7472686767578,-25.7805919647217,-23.7038478851318,-20.6055793762207,-13.291054725647,-5.57107257843018,-18.3739261627197,-8.69656372070312
-34.9292449951172,-14.5171985626221,-21.1473178863525,-14.7406148910522,-15.6664743423462,-13.4244356155396,-7.90085220336914,-14.9490985870361,-25.9923858642578,-23.8056812286377,-20.8363933563232,-13.5186033248901,-5.66015577316284,-18.6749534606934,-8.86817073822021
-35.0882034301758,-14.7615032196045,-21.3390369415283,-14.9811630249023,-15.7570867538452,-13.6285457611084,-7.98094749450684,-15.146824836731,-26.1959705352783,-23.9013118743896,-21.0605907440186,-13.7434062957764,-5.7478404045105,-18.9716567993164,-9.03887557983398
-35.2389526367188,-15.0038318634033,-21.52419090271,-15.2195711135864,-15.8431596755981,-13.8295373916626,-8.05858898162842,-15.3405303955078,-26.3916645050049,-23.9911155700684,-21.2783641815186,-13.9654960632324,-5.83414888381958,-19.2641010284424,-9.20868301391602
-35.3819198608398,-15.2442035675049,-21.7030048370361,-15.4558706283569,-15.9249210357666,-14.0274572372437,-8.13385105133057,-15.5302972793579,-26.5797748565674,-24.0754489898682,-21.4898948669434,-14.1849050521851,-5.91910219192505,-19.5523452758789,-9.37759780883789
-35.517505645752,-15.4826364517212,-21.875696182251,-15.6900911331177,-16.0025863647461,-14.2223529815674,-8.20680713653564,-15.7162055969238,-26.7605934143066,-24.1546440124512,-21.6953639984131,-14.4016666412354,-6.00272226333618,-19.8364505767822,-9.54562473297119
-35.6460876464844,-15.7191486358643,-22.0424747467041,-15.9222612380981,-16.0763626098633,-14.4142713546753,-8.27752780914307,-15.8983335494995,-26.9344043731689,-24.2290153503418,-21.8949432373047,-14.6158123016357,-6.08502960205078,-20.11647605896,-9.7127685546875
-35.7680320739746,-15.9537563323975,-22.2035427093506,-16.1524085998535,-16.1464424133301,-14.6032571792603,-8.34608173370361,-16.0767593383789,-27.1014785766602,-24.2988548278809,-22.0888023376465,-14.8273735046387,-6.16604471206665,-20.3924789428711,-9.87903308868408
-35.8836784362793,-16.1864776611328,-22.3590965270996,-16.380558013916,-16.2130126953125,-14.7893552780151,-8.41253566741943,-16.2515563964844,-27.262077331543,-24.3644409179688,-22.2771053314209,-15.0363807678223,-6.24578809738159,-20.6645183563232,-10.0444240570068
-35.9933547973633,-16.4173278808594,-22.5093250274658,-16.6067333221436,-16.2762489318848,-14.9726095199585,-8.47695255279541,-16.4228000640869,-27.4164524078369,-24.4260311126709,-22.4600124359131,-15.242865562439,-6.32427978515625,-20.9326515197754,-10.208945274353
-36.0973663330078,-16.6463222503662,-22.6544094085693,-16.8309593200684,-16.3363170623779,-15.1530637741089,-8.53939628601074,-16.5905609130859,-27.5648441314697,-24.4838695526123,-22.6376762390137,-15.4468584060669,-6.40153932571411,-21.1969337463379,-10.3726015090942
-36.1960105895996,-16.873477935791,-22.7945251464844,-17.0532569885254,-16.3933753967285,-15.3307609558105,-8.59992694854736,-16.7549114227295,-27.707483291626,-24.5381832122803,-22.8102493286133,-15.6483898162842,-6.4775857925415,-21.4574203491211,-10.5353975296021
-36.2895584106445,-17.0988101959229,-22.9298439025879,-17.2736473083496,-16.4475765228271,-15.5057430267334,-8.65860271453857,-16.9159202575684,-27.8445949554443,-24.5891895294189,-22.9778747558594,-15.8474893569946,-6.55243873596191,-21.7141666412354,-10.697338104248
-36.3782768249512,-17.3223342895508,-23.0605297088623,-17.4921531677246,-16.4990615844727,-15.678050994873,-8.71548080444336,-17.0736541748047,-27.9763927459717,-24.6370887756348,-23.140697479248,-16.0441856384277,-6.62611675262451,-21.9672260284424,-10.8584270477295
-36.4624137878418,-17.5440654754639,-23.1867408752441,-17.7087936401367,-16.5479679107666,-15.8477258682251,-8.77061557769775,-17.2281818389893,-28.1030826568604,-24.6820697784424,-23.2988529205322,-16.2385082244873,-6.69863796234131,-22.2166519165039,-11.018669128418
-36.5422058105469,-17.7640171051025,-23.308629989624,-17.9235877990723,-16.594425201416,-16.0148086547852,-8.82406139373779,-17.379566192627,-28.2248611450195,-24.7243099212646,-23.4524765014648,-16.4304847717285,-6.77002096176147,-22.462495803833,-11.1780691146851
-36.6178779602051,-17.9822044372559,-23.4263458251953,-18.1365547180176,-16.6385555267334,-16.1793384552002,-8.87586975097656,-17.5278720855713,-28.3419208526611,-24.7639770507812,-23.6016960144043,-16.6201457977295,-6.84028339385986,-22.7048091888428,-11.336630821228
-36.6896438598633,-18.1986427307129,-23.5400314331055,-18.347713470459,-16.6804752349854,-16.3413543701172,-8.92609024047852,-17.6731624603271,-28.4544429779053,-24.8012275695801,-23.746639251709,-16.8075180053711,-6.90944290161133,-22.9436435699463,-11.4943590164185
