rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17
practice,-4.63131904545517,-0.671128320207233,0.565751845681222,10.9918712301019,6.12250522406133,-1.82769631699197,-2.45278087237415,5.84543238696393,4.43498196937472,-1.25732597413438,8.04365354410103,10.6681292759884,6.20588037697257,7.76867055649555,7.30369790420518,1.69994405468809,2.28201649384596
practice,3.67169765074129,3.65559782217273,2.07038982247159,4.93214086074882,0.608452472074986,4.11286305557112,1.89584138080653,7.36199571357636,0.227623120462029,1.52172248158728,6.49293478616944,2.32777788497059,8.41765176515977,16.5111855257134,-1.36449636972467,8.77155220858501,7.25915441664403
practice,1.70616305905762,-1.60323147499026,3.44182347534521,9.74453980093449,2.95746192762961,2.67265393973212,2.91376854688743,-1.71462141584358,-1.91752430556306,5.42405674173977,2.31410856098237,3.29484559996463,1.6102638150067,2.84268277276672,6.38391129734824,-0.152401030038861,1.66746348428991
practice,-3.6798414262276,-8.06610162865709,-1.29869331677004,-1.34923392742453,-2.86959579007968,6.14312300700703,10.0673304305596,2.76357890037158,7.44783432314167,7.24263199455569,2.12550607220552,-9.24255396328993,3.89530477537724,1.62493024085166,-4.32924863752151,-1.55324467036511,7.47575348910963
practice,0.679364755465262,-9.39362273991521,-0.323564075929947,5.40702084480239,15.2394661773953,5.37997559821777,2.17910241642089,4.79894618935228,2.82480740185751,-2.15065120017648,3.0436602296844,-1.30884030854018,4.08217907673598,5.46836674069757,3.65559782217273,0.288738524037595,9.58311996859899
practice,-12.1362795773741,-2.1690221483853,-1.0677721737572,1.38883574689584,12.747332458031,-3.84377878445144,8.03434813129364,0.288738524037595,-4.91079350747576,1.80689133481333,6.72049186043087,13.5354998577951,3.29338286083732,6.39507984772639,-5.75223957946447,-1.94225083744287,0.430471566332062
baseline,-6.5343767193708,0.120875933516795,2.2179179823766,-5.45971182826143,3.81685535750016,2.74422247832975,3.31219154851724,1.31343177329855,6.77160434498702,0.188769303280784,1.43859820611837,-1.1939541715424,1.9844597669153,5.44731717289588,2.9624309111296,1.01683034240669,5.52400953503801
baseline,-1.7811471705377,4.31054111680823,0.442216324555816,-0.969460343381741,7.00126755749535,4.77806414430758,6.24648990729713,14.4921445159562,0.66423638671184,8.03753409184842,4.64200964649807,0.111109897841797,8.85768696219807,11.5191181967669,9.377579128387,13.8978580159597,7.34034485714432
baseline,1.31343177329855,-7.99403185704361,6.56410995365208,8.10894184806262,25.9750802103623,-3.73303075438142,6.27700904444805,0.152401030038883,8.04368167663823,5.96514837673538,1.70246840451659,-1.48630884793015,0.828152167658199,3.81685535750016,1.09168749507663,-1.65573518094677,4.78448713893156
baseline,1.25870922068731,2.25689168647086,2.68192494953822,7.19474881564446,1.5739304126357,2.79580203548357,2.23117605538264,-8.06024932841074,10.4001191887573,10.2053358786912,9.59279122734353,4.77806414430758,8.24139947601707,2.5499093682873,1.84760290419674,2.70743114241819,4.28809612375805
