rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
practice,2.3646817295871,3.63678903811305,8.66555341667863,4.64938441578259,-1.46435983158259,-4.60654056445054,-7.37320171736342,2.81509367413665,-7.63023594006306,-9.27154111161906,-5.78891887464532,-0.129581598185697,-5.51381148068712,3.83191670656388,-4.74262275209004,5.44731717289588,-3.63453079450583,-7.57642796996013,3.43952193839231,5.89276854560277,5.00814659632134,-0.762496334839432,-1.65729265953312,-5.96853909200048
practice,-3.79845225425586,6.15293503361813,8.70889873966896,3.35390065020818,-9.87400520909958,0.844649230674649,13.371785776255,4.96405167194088,7.11881378584908,-3.71922866182367,10.6681292759884,-5.919015437251,4.97715956416531,4.42051713838226,11.407582940557,-0.253622722425119,3.16121328462062,-0.960673126246934,13.8804796883116,5.68044052495607,10.287314767507,1.93440212171083,2.32492017048078,5.68370633538448
practice,2.6764448527677,0.888870941291203,8.19329438313386,8.36477522366527,-142.313657865572,4.86140765834604,-1.95409517935078,0.284798450637554,15.1361787181612,-4.00187856260963,11.9252731298461,1.786269990672,-0.0509812568820233,5.26580983640114,15.432941712,6.59881522253626,4.17989430834891,-3.37937929090689,4.03304645157561,-2.40989783850887,-0.110951770335874,-4.6287161952668,-3.4823652725216,3.78093980426403
practice,4.52502163368305,-6.57609850149544,-6.2488923992618,5.91490170008058,5.33298043871815,9.50486410344886,11.4772955886155,4.30275274532892,-5.38646614525188,3.20808515507459,-7.87193263560812,7.08891972115606,-0.00792997476011813,6.84230724965224,-0.656279668194357,-4.11856499444331,-8.03827957782657,-2.75335336107568,-6.66259323434046,-5.01576119625235,8.56888971615524,-8.04044682790319,1.51177160057519,-4.27619364814253
practice,0.290753897847587,8.76947744463921,-16.3774415735249,-9.72305669589423,1.57460597669526,-5.62446234909726,10.9879319485436,6.67260787024932,5.74126406657892,-10.5387761513986,-4.85169241874482,0.309016385807511,6.0917427670439,3.70643007564834,-1.09352924796516,5.44636947198365,6.78133178403824,4.04437752493656,9.37088327324819,0.758283967577061,8.89603213412794,-0.00143353733534666,5.42041746827752,-0.947453339537876
practice,0.558901802046703,-6.72286950593018,5.99677157804675,1.72246244462703,11.1548322025834,2.76724686150692,6.25326997461416,-6.27666197319081,4.55198646588933,2.83728397691927,-6.55801015587272,3.35335656099544,-0.488261698809181,1.28179783732238,-0.60815598674036,-5.20006389304752,1.98497635070785,4.74309732625091,-0.979713876881039,9.1658406227416,20.5480308070831,-0.447901206153776,-8.30819107899587,-3.05915613220034
baseline,-5.47407185327473,2.13075668796004,0.82929757024131,-2.53738807086165,-0.0327963674583769,-4.80429115708813,11.8029691809511,3.26542912714071,7.48127989656501,2.20704364088748,4.75617842818288,-0.646025222345425,3.31817542935691,-5.92365499190863,-4.98559124382686,0.947691041749569,-0.583898827296375,-4.68115070238425,0.840000902110496,-2.03045673441398,22.7608757560798,11.5040536330445,-1.20471227311356,0.322684455429247
baseline,2.88948490144122,-12.7750933884321,-0.403437563178537,-6.81840268138288,-1.05345873471219,14.6858716944411,7.15700802940071,0.224908568308967,-6.33687408299188,-1.65048349270611,-0.684516350563038,-0.307092592594024,-6.6961248588253,12.7227887161864,0.415438990247616,-1.16302353243918,1.84194772550036,-2.08314450226386,5.21445675972482,2.37313264678681,-1.24741127451957,7.32414897661312,0.667418228770331,1.15160139290402
baseline,1.00086939584585,1.73263745920159,-3.26854900268569,-2.88948490144121,-0.983928606448258,1.39899405508769,-2.69168325197515,-3.35395993337068,1.72872522138988,-1.12022454911802,-0.703544873715518,1.01471789181175,5.81016736108519,12.2161560075129,4.7042569207511,3.76590214466196,2.89555885372864,2.42392485667982,-5.79374801242115,6.1443826464462,-4.28532323219745,36.4795914164116,-9.20918475365956,13.7327125036279
baseline,3.71355092492284,2.26511898400467,1.07581068512737,-3.15129814612811,7.96714153042888,3.2392445656979,7.97382252314519,7.28057018202718,4.25734223654326,1.54299114654149,-0.574879537726087,-8.85296815257805,12.6069104124412,1.74020784083418,-0.0661781567147326,2.10490356750886,10.6858694107976,-0.721672739640931,2.54240783680639,7.55610454026253,10.5155177026508,-4.00350384057118,3.50708854248558,-0.00964718363701914
