rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22
practice,-8.95444632819324,-3.02354918894204,-3.67830023883964,5.81248238311274,5.00953010047581,-0.723725893079729,3.10196626522079,14.8370567757044,7.88838713908095,7.37888644926892,4.58349137543445,-3.62922018154082,-2.05637186290165,-0.74255127211055,12.4711114533244,5.06694972849003,16.5472906857708,-10.28063616865,2.60931263864554,0.698945535096356,9.45187123276737,14.152771796187
practice,-12.8213320714003,0.519495861381176,-3.09954593312609,5.84072962235245,-1.57910420512938,-1.19156068814275,3.79586298727049,9.23289365325412,7.98141885896995,2.9386643936494,-0.366771104988418,-8.96404946589677,-7.40269335061944,-2.26511898400466,6.97394816620958,3.43952193839231,-12.6718982252885,7.58100071413687,-0.88922055518457,-2.22585843884241,-5.50274598484249,-10.0447611180003
practice,-4.66479444149826,-16.0785094935772,0.00964718363702821,8.66253577398615,1.76008444238632,-9.44930742968926,-0.481424280304387,-1.36075732772233,-3.73549904956404,6.50644647370715,0.184839864980993,14.2129975061428,4.63414114540666,-0.406196739883274,10.692899432834,-2.38897526739796,5.66463751010846,-0.186604115127455,-3.51016956333515,3.16129809817423,3.78514644998638,-5.75361283822565
practice,-5.12599380928698,1.78658956072791,-2.9929689571642,3.39721479670562,5.40385245509354,-9.03633191003276,3.79586298727049,10.0741538160307,8.08638032640646,3.90726238123862,7.25178817388992,0.358133073668155,-2.83728397691927,6.97952866364483,2.86959579007969,-1.05345873471219,-10.7304809828446,3.76566519041883,2.8356153192051,-0.927451421005494,4.10209451879362,6.05946512428028
practice,-0.295509748095278,-10.1742543749202,0.844649230674649,0.534614387404148,-1.59705839751702,2.8309122029502,10.1624205210762,5.87835991643188,6.69655143155347,-5.33298043871815,6.52371728812829,11.2786614281261,3.22771631273203,-6.69700927613969,8.75531781315281,-6.66259323434046,0.734073130016743,4.08720845650513,-11.4304454514481,5.11262331498422,-10.2193499019738,-2.93332617007599
practice,-0.882788366773904,7.72732805716736,6.53835098991612,4.61856462333202,1.35445906357886,-1.87116128802636,4.49790358372194,5.63448836643901,0.774076761832963,7.44653495567831,-3.40128737114347,16.213269726504,6.75549944051451,5.22130499587407,-4.47324331378748,15.2212924564787,4.64771517134565,-10.5897785141449,-7.00604603290058,10.8384061358671,-5.47541377509709,3.64786023614769
baseline,8.61585376818835,17.6551415009451,-16.4823133313327,4.27000720511735,3.93835064841483,-1.05318920717877,3.90726238123862,-3.55739950102703,6.50644647370715,0.412257282468157,-0.244577104327671,-4.94599489819687,-1.62696473108508,8.7754191732872,-3.72622819384529,-2.59169324606644,-1.51324581643043,3.83018277817638,-1.64744686344347,4.82646089162675,0.708635420435674,0.0638567416604025
baseline,NA,-3.70997632762505,1.59705839751703,1.30865551860954,6.75058016465836,-2.72270975069836,4.99929629437765,5.30180782222087,-4.34184966870291,-1.37067995447263,1.82335255314595,-4.44582921253746,2.9208751707411,-0.699332460248464,3.45608526049136,0.844649230674649,3.94655488857225,1.6604454189386,3.13438128710735,8.6501822668827,4.98112019836817,-3.4777610016048
baseline,-15.1794775340082,-1.77622389732469,6.84947242505265,4.9046858593304,-7.91947431673954,0.574879537726081,4.97200886819645,3.95456076260608,9.03807532759799,5.85666877470742,-5.72642510574252,6.98514532158722,3.06001471057928,-4.02204311922664,-4.72139354145436,1.71265143939213,10.7805634974297,5.53257443057027,3.07107762785056,-2.75335336107568,-1.43811575994765,-2.0867786261351
baseline,-0.631649503597131,-7.34565201797978,-2.16464588108528,10.5736255591295,-1.5429911465415,0.790273741876316,6.01872858548036,12.745029120359,4.39727118791247,7.8066026124146,0.656279668194352,10.1624205210762,-0.684516350563038,6.59300491161281,6.44289058980254,10.5508226993313,8.58787575377849,-11.270143638875,-7.96781281803198,0.719442046452443,1.78658956072791,-0.929431825822103
