rot,p1,p2,p3,p4,p5,p6
rotation,-14.2171144053979,-147.229716976315,-27.7675979564107,-19.3396246866119,-23.1211055210881,-25.8793792909069
rotation,-21.9733883871312,-119.255106945475,-30.5354575429646,-69.7045608286357,-20.3320077545424,-18.541717830352
rotation,-3.19556932780371,-71.4988384903091,-92.4913460630494,-26.1997291982029,-10.6261105952961,-25.314837389594
rotation,-26.7270878503089,-59.0799449076662,-37.9679925180054,-8.66853521422495,-21.3295686814905,-21.9412338084015
rotation,-25.5071199978598,-134.134215231498,-13.4149017000806,-20.0598059953217,-15.1498974650089,-29.2805601480446
rotation,-28.62736752134,-97.141592018462,-67.1382761704788,-15.2438009879289,-1.11400120169132,-19.8607244260203
rotation,-19.7260210332721,-46.4290870940229,-29.5168810906291,-32.0961475449064,-26.6859629284238,-25.5583853089657
rotation,-28.1832937569476,-80.183115936112,-36.4826401306001,-16.3560831156926,-18.4254984540425,-17.772485899932
rotation,-17.1756426015666,-80.7208854579728,-20.3129151456039,-21.6826365187876,-5.29447019753868,-35.7172222741782
rotation,-4.98460517823676,-100.57970964039,-21.6920438126882,-14.4617204221734,-3.98983043666483,-20.4827778807268
rotation,-24.8173759385212,-43.6307675150157,-34.9666724760798,-25.7156977881945,-15.8579844250021,-15.3755245597834
rotation,-23.9710493157021,-47.3635982592021,-104.38346957366,-20.2237203574835,-18.149297788127,-29.2011445679289
rotation,-27.7152877651957,-39.9147767260689,-84.6560266266955,-14.456721702963,-13.0123703579275,-27.1569801455504
rotation,-33.6339772641514,-71.0398322646628,-36.2579331212393,-20.4792112847101,-12.4046858593304,-27.5260025647952
rotation,-28.9045762467812,-82.7324449352444,-24.06484837491,-20.7162328879511,-17.4689873191023,-17.3211561270233
rotation,-16.3150357324216,-109.093834270846,-8.61526477187698,-24.0755099112074,-11.3301827781764,-26.1456273597848
rotation,-4.56898230857293,-23.9898007177981,-34.6194030169538,-37.2440972524828,-3.83175772046644,-30.0561045402625
rotation,-0.62647217079399,-37.3395038818374,-63.2015289886906,-34.1710780022896,-7.52802467433572,-29.792565151458
rotation,-22.1477079523695,-25.0111524880582,-13.5847018190605,-27.5666934888128,-14.2082117667137,-17.4286329624614
rotation,-31.0666109470115,-55.2585612573636,-114.360478675418,-46.865511633561,-25.3496999449396,-34.2682889320206
rotation,-33.9308415258401,-78.4747244595467,-109.119272150137,-19.4640404779616,-21.5133717625222,-22.646643588682
rotation,-31.6478120130546,-20.3748767954053,-51.140934401376,-22.8259620358914,3.06718425501144,-31.3710392916395
rotation,-10.7132623978188,-32.1636268901148,-31.3305853188925,-24.3681699235427,-17.976282460243,-20.446595417391
rotation,-14.0975459805719,-50.4768087690324,-56.623821553013,-47.318255694814,-13.2336203759698,-21.5181067767807
rotation,-36.0184003629,-48.6859631938836,-65.6241888513776,-34.703575561902,-21.4241348249329,-12.709151002903
rotation,-17.3172341497104,-29.8997111043852,-27.8117896938171,-22.8027786580704,-19.0524246858449,-23.5800850348615
rotation,-21.6602151295318,-27.2533003906071,-4.45791872979391,-21.3116279078316,-4.880488574605,-24.1764540649564
rotation,-25.2662230105155,-23.7880012758452,-47.8524398049792,-25.1946037945841,-12.9070208448024,-24.7017048004747
rotation,-30.3462879442819,-123.475080210362,-52.0437477656724,-25.2817775085062,-10.9874650279128,-22.3791240664832
rotation,-28.4639627692493,-61.5805930951018,22.0028428692338,-46.4653840363798,-7.80262798695093,-14.4903337136787
rotation,-14.0793761259806,-45.2615505014408,-31.756577259153,-23.6807799421617,-24.9658773361704,-13.6511780649779
rotation,-11.2268102904958,-27.2838651086444,-15.5523908321934,-23.5024999948225,-28.4747647732823,-22.4239133610804
rotation,-13.5849191555057,-24.63075668796,-50.9588717455015,-34.272283687268,-12.8018078222209,-25.7462035440449
rotation,-28.4302131804423,-52.7015701122751,-0.640996916771637,-19.1716320731752,-10.6065590005627,-29.6940845374821
rotation,-21.8520083929112,-91.6732702699708,-29.52227305603,-21.5458638480058,-18.9384645526182,-20.4279018549307
rotation,-23.5063116406792,-43.2492460093065,-58.079607421734,-56.2507390522656,-11.5910487427093,-21.8437203318056
rotation,-27.2430973262509,-40.9513463081705,-59.933926097355,-22.2949585242354,-16.6161286884783,-25.814761393854
rotation,-29.0740129092519,-38.1594171546571,-46.9158968972025,-22.3476214188702,-7.21489828812066,-31.0742835466331
rotation,-17.3744437952627,-108.676102911863,-21.1800347391374,-22.275091431691,-22.6331653543442,-16.4074900220764
rotation,-12.3941749663758,-33.9390636520937,25.8498479395592,-21.6599605620264,-17.9951245023925,-20.6847765603104
rotation,0.360740823274144,-44.8804713497695,-34.0925744934099,-22.2753012333557,-17.1083099697999,-23.6498546457972
rotation,-25.0819202314235,-109.567887431371,-72.812569058283,-16.4568220565687,-14.450344180471,-34.9047014495259
rotation,-16.4626766333471,-45.7644713708164,-36.8069312959427,-60.4480059281013,-20.2301595265643,-20.6755914332382
rotation,6.32416916926421,-68.3311672454754,-111.931225972808,-20.1988523803739,-11.8879125032909,-35.4827778807268
rotation,-5.96520345095054,-30.0513103985014,-74.9501440144309,-24.8445000835791,-21.9359287259291,-20.9685733814207
rotation,-15.24699574214,-42.9826497881873,-45.4810278841366,-23.5534587347122,-20.6579632532468,-24.360478675418
rotation,-27.5693460004596,-52.8464732159635,-9.46043095746825,-19.4151972187865,-19.4004540668739,-27.5952058893342
rotation,-16.3130784836931,-84.1764540649564,-15.9825429025756,-14.5860856448974,-7.1323898677526,-29.7652256075892
rotation,-14.5055299191514,-54.4875355887865,22.9722936002163,-17.4634463234638,-27.4084695164072,-33.6297657935319
rotation,-11.4714746454427,-53.103041388429,-25.3551874665802,-26.6802923077044,-20.858115922264,-26.0101695633352
rotation,-22.7212924564787,-116.907095007899,-26.914862960767,-96.2426740258656,-12.2101667868947,-20.2856532889611
rotation,-30.0370273299029,-31.0112659863861,-6.81727250960586,-31.6328728907382,-21.5312512229689,-27.9310886238487
rotation,-24.9653333953404,-105.471839087205,-21.8010309573074,-14.792565151458,-7.40198689211127,-40.3283264083445
rotation,-23.0135447821399,-72.8018078222209,-24.3856008023727,-18.757003696713,-20.2845879699842,-46.4752705623407
rotation,-17.4140714714945,-50.1425143136699,-10.8499859102827,-35.6847765603104,-8.41233894485769,-36.6295515499773
rotation,-22.1655139259861,-54.1141098296044,-7.11303803966701,-18.2423414920197,-33.2473984505996,-43.1803145493429
rotation,-24.9297433767175,-37.8841573583151,-22.7464915571183,-19.3539084516654,-11.6247925097801,-30.3661477137886
rotation,-8.34000090211048,-73.8769950015913,-24.346986740093,-11.8211032057182,-29.6859785941074,-27.5077584509779
rotation,-25.2565516128175,-138.852463572694,-34.4377505325537,-21.9787561484395,-31.2128411478186,-27.4459948981969
rotation,-24.7571181212058,-72.3804631140616,-7.24099934347091,-19.7108051980184,-36.5389455359881,-30.2579516098528
counter,-24.9376746707836,-19.4043140163141,14.096073895446,-11.9609104567187,-10.6190940173997,-7.3476214188702
counter,-17.690581714173,-128.812315880337,-25.2871574439501,-20.1594152140958,-5.51136214352592,-10.7065750886334
counter,-2.25494684911154,-109.160445656453,-24.5989095165679,-11.8804541906377,-9.87275507862511,-8.34802665339773
counter,15.1963762547379,-75.092547722792,-15.7098818644398,-12.9015769285535,0.211020255357125,-10.1597521188849
counter,-10.782474751339,-111.901160650804,38.7892992870796,-6.48814872222162,-3.55680426883672,15.5425234057698
counter,5.98329067402995,-30.9703340330641,-12.4005158559889,-4.00176469391084,0.280940122399232,9.69546739198697
counter,20.1854331300468,-29.7084761846064,-5.4908198751697,1.4961810860969,9.50033113581009,-3.15815033129708
counter,-15.1069476269587,-147.677970384182,-1.92920321373172,-9.42186649001108,-10.4516987270355,2.85061558421741
errorclamp,6.96455580468986,0.766660320612894,-7.84919531889607,-8.96379731007367,-1.27863214922159,-4.64234616665819
errorclamp,-10.0307211283373,-12.0808030272687,-26.1999017626963,-23.7690897461671,-12.8227126502106,-1.95798037661067
errorclamp,0.566944210971528,-14.900680680225,33.9091658360248,-10.8041480652354,-5.55774916255711,0.55416816458298
errorclamp,-14.9700982913301,-11.7695183323958,-6.40174676518955,-14.4118424185337,-11.7869031603262,8.0294243500842
errorclamp,-8.23974713727073,-10.9705604024959,-15.6691321706755,-3.48859007824846,-14.426336293285,5.4391981139449
errorclamp,1.24274570140138,-11.6940351717314,-9.06329074431846,-14.0885571504755,-2.06163398476384,-0.977764439621578
errorclamp,-6.17526935763109,-18.4705207340247,-10.8782370538585,-6.2698764057439,-11.209976327625,2.2153851637265
errorclamp,2.89896448747592,-15.0078929053961,-19.3145760719192,-6.0799057649198,-1.73289365325412,-5.02947808898121
errorclamp,-0.271089465082493,-17.9914513660091,-6.51764550300651,-4.79238353538196,-2.11353385474812,-6.41733683095115
errorclamp,3.67839932714509,-12.1074222424862,-9.06951203895161,-3.86870665184473,0.286239958907011,-8.49461847364057
errorclamp,-5.7922556685758,-18.4205190189739,-8.75877381145369,-8.34000090211048,-9.85405855224011,-1.35687699299297
errorclamp,-9.51100218796226,-10.122002234592,-8.77117306048084,-6.03676235662248,-12.4059092595711,-9.31175982808019
errorclamp,-6.72633250990125,-5.95579537955728,-14.3784672005318,-18.1913646421002,3.10761523972349,-6.53051186715324
errorclamp,-8.04814791027274,-9.8930895875588,-7.54111502526068,-9.59400369221596,-11.3473697916264,5.38238421615206
errorclamp,3.0117455937091,-5.35786219559865,-10.7441295625096,-13.5567947460085,-9.39854814855999,0.366386289803467
errorclamp,5.918516273447,-11.7234060974969,-13.3012676975883,-5.21223327518984,-9.77310825427378,-6.80693129594271
